代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股)
600000.SH,浦发银行,1999/11/10,N/A,3.6043,3.6409,3.2988,3.3904,174085100
600000.SH,浦发银行,1999/11/11,3.3904,3.3697,3.4674,3.3636,3.3856,29403500
600000.SH,浦发银行,1999/11/12,3.3856,3.4039,3.4576,3.3929,3.4271,15008000
600000.SH,浦发银行,1999/11/15,3.4271,3.4454,3.4515,3.3843,3.3904,11921100
600000.SH,浦发银行,1999/11/16,3.3904,3.4063,3.4173,3.2353,3.2438,23223100
600000.SH,浦发银行,1999/11/17,3.2438,3.2377,3.3208,3.2218,3.3208,10052600
600000.SH,浦发银行,1999/11/18,3.3208,3.3232,3.3697,3.2719,3.3013,8446500
600000.SH,浦发银行,1999/11/19,3.3013,3.3599,3.3636,3.2744,3.2842,5375000
600000.SH,浦发银行,1999/11/22,3.2842,3.2842,3.2927,3.2133,3.2316,5535400
600000.SH,浦发银行,1999/11/23,3.2316,3.2316,3.2438,3.1889,3.2316,3844000
600000.SH,浦发银行,1999/11/24,3.2316,3.2304,3.2438,3.1779,3.2292,4098000
600000.SH,浦发银行,1999/11/25,3.2292,3.2133,3.2573,3.1791,3.2255,5725300
600000.SH,浦发银行,1999/11/26,3.2255,3.2292,3.2573,3.195,3.2316,2282700
600000.SH,浦发银行,1999/11/29,3.2316,3.2316,3.278,3.2035,3.217,2681200
600000.SH,浦发银行,1999/11/30,3.217,3.2133,3.2377,3.1901,3.2255,2371400
600000.SH,浦发银行,1999/12/1,3.2255,3.2145,3.2866,3.2023,3.2499,2865100
600000.SH,浦发银行,1999/12/2,3.2499,3.2402,3.2646,3.2035,3.2084,1938500
600000.SH,浦发银行,1999/12/3,3.2084,3.2072,3.2561,3.2011,3.2206,2552600
600000.SH,浦发银行,1999/12/6,3.2206,3.2133,3.2194,3.1278,3.1351,6984000
600000.SH,浦发银行,1999/12/7,3.1351,3.1278,3.1583,3.1155,3.1278,3955800
600000.SH,浦发银行,1999/12/8,3.1278,3.1278,3.1473,3.1155,3.1192,2236500
600000.SH,浦发银行,1999/12/9,3.1192,3.1155,3.1217,3.0911,3.0984,2564600
600000.SH,浦发银行,1999/12/10,3.0984,3.0984,3.1889,3.0813,3.173,3553913
600000.SH,浦发银行,1999/12/13,3.173,3.1742,3.2316,3.1278,3.1669,7058400
600000.SH,浦发银行,1999/12/14,3.1669,3.14,3.1766,3.14,3.1766,1618500
600000.SH,浦发银行,1999/12/15,3.1766,3.1766,3.2866,3.1644,3.2316,6797900
600000.SH,浦发银行,1999/12/16,3.2316,3.2377,3.2377,3.1705,3.1766,3616200
600000.SH,浦发银行,1999/12/17,3.1766,3.1766,3.1925,3.1168,3.1253,3565300
600000.SH,浦发银行,1999/12/21,3.1253,3.1094,3.1217,3.0716,3.0838,4215300
600000.SH,浦发银行,1999/12/22,3.0838,3.0838,3.0972,3.0606,3.0728,3083500
600000.SH,浦发银行,1999/12/23,3.0728,3.0789,3.0911,3.0178,3.0276,4161561
600000.SH,浦发银行,1999/12/24,3.0276,3.0056,3.063,3.0044,3.0239,2832500
600000.SH,浦发银行,1999/12/27,3.0239,3.0239,3.0545,2.9934,3.0031,2233700
600000.SH,浦发银行,1999/12/28,3.0031,2.9983,3.0642,2.9934,3.0056,3176700
600000.SH,浦发银行,1999/12/29,3.0056,3.019,3.0508,3.0019,3.0129,2284200
600000.SH,浦发银行,1999/12/30,3.0129,3.0422,3.0532,3.0117,3.0239,2333200
600000.SH,浦发银行,2000/1/4,3.0239,3.052,3.1498,3.0239,3.1241,4496100
600000.SH,浦发银行,2000/1/5,3.1241,3.1241,3.1742,3.0728,3.0887,5252800
600000.SH,浦发银行,2000/1/6,3.0887,3.0764,3.2133,3.0606,3.1754,6229700
600000.SH,浦发银行,2000/1/7,3.1754,3.2133,3.3599,3.1913,3.2866,21355300
600000.SH,浦发银行,2000/1/10,3.2866,3.2988,3.4027,3.2634,3.3294,16539700
600000.SH,浦发银行,2000/1/11,3.3294,3.3294,3.3355,3.1913,3.2011,9390800
600000.SH,浦发银行,2000/1/12,3.2011,3.1766,3.1766,3.03,3.0691,35274900
600000.SH,浦发银行,2000/1/13,3.0691,3.0545,3.085,3.03,3.0422,7975600
600000.SH,浦发银行,2000/1/14,3.0422,3.0398,3.0545,2.9213,2.9567,17861900
600000.SH,浦发银行,2000/1/17,2.9567,2.9421,2.986,2.9017,2.9812,8101500
600000.SH,浦发银行,2000/1/18,2.9812,2.9934,3.0019,2.9176,2.9494,7693300
600000.SH,浦发银行,2000/1/19,2.9494,2.9494,2.9677,2.9298,2.9482,4658400
600000.SH,浦发银行,2000/1/20,2.9482,2.9469,3.0117,2.9445,2.986,5114400
600000.SH,浦发银行,2000/1/21,2.986,2.9946,3.0093,2.9421,2.9653,8138700
600000.SH,浦发银行,2000/1/24,2.9653,2.9567,2.9628,2.9262,2.9543,9250300
600000.SH,浦发银行,2000/1/25,2.9543,2.9543,3.074,2.9543,3.0044,7742300
600000.SH,浦发银行,2000/1/26,3.0044,3.0056,3.03,2.9702,2.9824,2737700
600000.SH,浦发银行,2000/1/27,2.9824,2.9897,3.0276,2.9567,3.0044,6335000
600000.SH,浦发银行,2000/1/28,3.0044,3.0056,3.0667,3.0007,3.0593,12362700
600000.SH,浦发银行,2000/2/14,3.0593,3.1766,3.3575,3.1155,3.3232,23739100
600000.SH,浦发银行,2000/2/15,3.3232,3.3232,3.3575,3.1339,3.1375,26267700
600000.SH,浦发银行,2000/2/16,3.1375,3.1155,3.1217,3.0435,3.0789,19069100
600000.SH,浦发银行,2000/2/17,3.0789,3.085,3.2255,2.9604,3.0422,23044800
600000.SH,浦发银行,2000/2/18,3.0422,3.0422,3.0545,2.9689,3.0154,9693500
600000.SH,浦发银行,2000/2/21,3.0154,3.0239,3.2133,2.9567,3.1522,25510600
600000.SH,浦发银行,2000/2/22,3.1522,3.162,3.1766,3.0056,3.0239,10517500
600000.SH,浦发银行,2000/2/23,3.0239,3.0056,3.085,2.9934,3.0056,6914600
600000.SH,浦发银行,2000/2/24,3.0056,3.0056,3.0545,2.9934,3.0325,4648100
600000.SH,浦发银行,2000/2/25,3.0325,3.0422,3.0508,2.9934,3.0056,5814800
600000.SH,浦发银行,2000/2/28,3.0056,3.0056,3.085,2.975,3.0642,9373400
600000.SH,浦发银行,2000/2/29,3.0642,3.0801,3.1278,3.03,3.0752,10955900
600000.SH,浦发银行,2000/3/1,3.0752,3.0789,3.311,3.0752,3.1546,41705100
600000.SH,浦发银行,2000/3/2,3.1546,3.1498,3.1766,3.0667,3.1058,12999900
